# 2016 8 3 7 36 5.500000 72.790000 127.098000 10.8000 0.000000 0.000000 0.000000 0.000000 1
SI.629   81.700  1.00 P
SI.629   85.300  1.00 S
SI.630   82.400  1.00 P
SI.630   86.700  1.00 S
SI.631   87.900  1.00 P
SI.631   96.100  1.00 S
# 2016 8 19 9 58 27.000000 71.913000 129.832000 14.4000 0.000000 0.000000 0.000000 0.000000 19
SI.632   67.900  1.00 P
SI.632   74.100  1.00 S
SI.630   69.400  1.00 P
SI.630   76.700  1.00 S
SI.627   77.100  1.00 P
SI.627   89.500  1.00 S
SI.628   77.800  1.00 P
SI.628   90.500  1.00 S
# 2016 8 19 9 59 2.300000 71.923000 129.765000 12.1000 0.000000 0.000000 0.000000 0.000000 20
SI.632   32.700  1.00 P
SI.632   38.600  1.00 S
SI.630   33.400  1.00 P
SI.630   40.600  1.00 S
SI.629   39.300  1.00 P
SI.629   50.200  1.00 S
SI.627   41.600  1.00 P
SI.627   53.800  1.00 S
SI.628   42.600  1.00 P
SI.628   55.200  1.00 S
SI.631   42.900  1.00 P
SI.631   55.900  1.00 S
SI.625   46.500  1.00 P
SI.625   62.400  1.00 S
SI.626   46.200  1.00 P
SI.626   62.200  1.00 S
SI.624   46.900  1.00 P
SI.624   62.900  1.00 S
SI.623   48.900  1.00 P
SI.623   66.700  1.00 S
SI.621   52.700  1.00 P
SI.621   73.200  1.00 S
SI.620   56.100  1.00 P
SI.620   79.000  1.00 S
# 2016 8 19 10 3 4.700000 71.860000 129.815000 27.6000 0.000000 0.000000 0.000000 0.000000 21
SI.632  107.100  1.00 P
SI.632  113.200  1.00 S
SI.630  109.200  1.00 P
SI.630  117.100  1.00 S
SI.627  115.700  1.00 P
SI.627  128.300  1.00 S
# 2016 8 19 10 5 3.600000 71.895000 129.827000 19.1000 0.000000 0.000000 0.000000 0.000000 22
SI.632   97.800  1.00 P
SI.632  104.000  1.00 S
SI.629  104.800  1.00 P
SI.629  116.000  1.00 S
SI.627  106.900  1.00 P
SI.627  119.100  1.00 S
SI.624  112.100  1.00 P
SI.624  129.000  1.00 S
# 2016 8 19 10 47 3.400000 72.003000 129.784000 12.0000 0.000000 0.000000 0.000000 0.000000 23
SI.629  102.200  1.00 P
SI.629  113.100  1.00 S
SI.627  104.000  1.00 P
SI.627  116.200  1.00 S
SI.628  104.500  1.00 P
SI.628  117.200  1.00 S
SI.621  115.300  1.00 P
SI.621  135.600  1.00 S
# 2016 8 19 10 52 1.200000 71.961000 129.678000 16.4000 0.000000 0.000000 0.000000 0.000000 24
SI.630   84.400  1.00 P
SI.630   90.800  1.00 S
SI.629   89.600  1.00 P
SI.629  100.100  1.00 S
SI.627   91.600  1.00 P
SI.627  103.700  1.00 S
SI.628   92.600  1.00 P
SI.628  104.900  1.00 S
# 2016 8 19 10 57 0.700000 72.076000 129.756000 13.9000 0.000000 0.000000 0.000000 0.000000 25
SI.625   84.600  1.00 P
SI.625  100.300  1.00 S
SI.624   84.700  1.00 P
SI.624  100.500  1.00 S
SI.623   87.000  1.00 P
SI.623  104.500  1.00 S
SI.622   89.200  1.00 P
SI.622  108.300  1.00 S
SI.621   90.500  1.00 P
SI.621  110.900  1.00 S
# 2016 8 19 11 3 3.800000 71.982000 129.750000 0.0000 0.000000 0.000000 0.000000 0.000000 26
SI.630  104.600  1.00 P
SI.630  111.600  1.00 S
SI.629  110.400  1.00 P
SI.629  121.400  1.00 S
SI.627  112.400  1.00 P
SI.627  124.800  1.00 S
SI.628  113.100  1.00 P
SI.628  125.800  1.00 S
SI.625  117.300  1.00 P
SI.625  133.200  1.00 S
# 2016 8 19 11 6 1.300000 72.023000 129.909000 23.7000 0.000000 0.000000 0.000000 0.000000 27
SI.630   78.700  1.00 P
SI.630   86.300  1.00 S
SI.629   84.300  1.00 P
SI.629   95.900  1.00 S
SI.627   85.900  1.00 P
SI.627   98.400  1.00 S
SI.628   86.200  1.00 P
SI.628   99.100  1.00 S
# 2016 8 19 11 14 2.600000 72.029000 129.819000 19.8000 0.000000 0.000000 0.000000 0.000000 28
SI.630   87.000  1.00 P
SI.630   94.200  1.00 S
SI.627   94.200  1.00 P
SI.627  106.400  1.00 S
SI.628   94.600  1.00 P
SI.628  107.300  1.00 S
SI.625   98.900  1.00 P
SI.625  114.700  1.00 S
# 2016 8 19 11 23 5.100000 71.868000 129.700000 25.1000 0.000000 0.000000 0.000000 0.000000 29
SI.632  118.600  1.00 P
SI.632  124.400  1.00 S
SI.630  120.600  1.00 P
SI.630  127.900  1.00 S
SI.627  127.400  1.00 P
SI.627  139.900  1.00 S
SI.628  128.400  1.00 P
SI.628  140.700  1.00 S
# 2016 8 19 11 32 4.300000 71.852000 129.705000 25.5000 0.000000 0.000000 0.000000 0.000000 30
SI.632  109.400  1.00 P
SI.632  115.200  1.00 S
SI.630  111.700  1.00 P
SI.630  119.000  1.00 S
SI.629  116.500  1.00 P
SI.629  127.100  1.00 S
SI.627  118.300  1.00 P
SI.627  130.500  1.00 S
# 2016 8 19 11 55 2.400000 71.867000 129.661000 24.8000 0.000000 0.000000 0.000000 0.000000 31
SI.632   87.500  1.00 P
SI.632   93.100  1.00 S
SI.630   89.300  1.00 P
SI.630   96.600  1.00 S
SI.627   96.600  1.00 P
SI.627  108.600  1.00 S
SI.628   97.000  1.00 P
SI.628  109.500  1.00 S
# 2016 8 19 13 52 55.000000 71.897000 129.742000 5.1000 0.000000 0.000000 0.000000 0.000000 32
SI.632   67.200  1.00 P
SI.632   72.700  1.00 S
SI.630   68.700  1.00 P
SI.630   75.700  1.00 S
SI.627   76.600  1.00 P
SI.627   88.800  1.00 S
SI.628   77.400  1.00 P
SI.628   90.000  1.00 S
# 2016 8 19 14 4 2.600000 71.962000 129.667000 18.2000 0.000000 0.000000 0.000000 0.000000 33
SI.630   88.500  1.00 P
SI.630   94.900  1.00 S
SI.627   95.600  1.00 P
SI.627  107.900  1.00 S
SI.628   96.400  1.00 P
SI.628  108.900  1.00 S
SI.626  100.700  1.00 P
SI.626  116.200  1.00 S
SI.624  101.300  1.00 P
SI.624  117.300  1.00 S
# 2016 8 19 20 19 1.400000 71.927000 129.633000 14.3000 0.000000 0.000000 0.000000 0.000000 34
SI.625   92.500  1.00 P
SI.625  108.100  1.00 S
SI.626   92.300  1.00 P
SI.626  108.100  1.00 S
SI.623   94.900  1.00 P
SI.623  112.300  1.00 S
SI.622   97.300  1.00 P
SI.622  116.400  1.00 S
SI.621   98.500  1.00 P
SI.621  118.800  1.00 S
# 2016 8 19 20 42 4.700000 72.012000 129.833000 11.7000 0.000000 0.000000 0.000000 0.000000 35
SI.629  113.500  1.00 P
SI.629  124.500  1.00 S
SI.627  115.400  1.00 P
SI.627  127.500  1.00 S
SI.624  120.300  1.00 P
SI.624  137.100  1.00 S
SI.623  122.500  1.00 P
